unique_id,include95,include90,include85,include80,include75,include70,include65,include60
ds001894_sub-0146,3,6,6,6,6,6,6,6
ds001894_sub-0148,4,6,6,6,6,6,6,6
ds001894_sub-0150,6,6,6,6,6,6,6,6
ds001894_sub-0152,6,6,6,6,6,6,6,6
ds001894_sub-0157,6,6,6,6,6,6,6,6
ds001894_sub-0159,6,6,6,6,6,6,6,6
ds001894_sub-0160,2,4,6,6,6,6,6,6
ds001894_sub-0161,6,6,6,6,6,6,6,6
ds001894_sub-0162,3,5,6,6,6,6,6,6
ds001894_sub-0163,6,6,6,6,6,6,6,6
ds001894_sub-0164,3,4,5,6,6,6,6,6
ds001894_sub-0165,6,6,6,6,6,6,6,6
ds001894_sub-0167,4,6,6,6,6,6,6,6
ds001894_sub-0168,6,6,6,6,6,6,6,6
ds001894_sub-0169,3,4,5,6,6,6,6,6
ds001894_sub-0170,6,6,6,6,6,6,6,6
ds001894_sub-0172,0,1,2,4,4,4,5,5
ds001894_sub-0174,3,4,5,6,6,6,6,6
ds001894_sub-0176,6,6,6,6,6,6,6,6
ds001894_sub-0177,4,5,5,5,5,5,6,6
ds001894_sub-0181,4,6,6,6,6,6,6,6
ds001894_sub-0182,6,6,6,6,6,6,6,6
ds001894_sub-0184,6,6,6,6,6,6,6,6
ds001894_sub-0185,3,4,6,6,6,6,6,6
ds001894_sub-0186,6,6,6,6,6,6,6,6
ds001894_sub-0188,6,6,6,6,6,6,6,6
ds002236_sub-0001,4,4,5,5,5,6,6,6
ds002236_sub-0002,3,6,6,6,6,6,6,6
ds002236_sub-0003,4,4,5,5,6,6,6,6
ds002236_sub-0004,1,2,2,3,3,4,5,6
ds002236_sub-0006,3,4,6,6,6,6,6,6
ds002236_sub-0007,2,3,3,4,4,4,4,5
ds002236_sub-0008,1,2,3,3,4,5,5,6
ds002236_sub-0009,2,2,3,4,4,5,6,6
ds002236_sub-0010,1,2,2,3,4,5,6,6
ds002236_sub-0012,3,4,4,4,5,6,6,6
ds002236_sub-0013,3,4,4,4,6,6,6,6
ds002236_sub-0016,3,3,4,4,4,5,6,6
ds002236_sub-0017,1,2,3,3,4,5,6,6
ds002236_sub-0019,1,2,2,2,3,3,4,4
ds002236_sub-0021,6,6,6,6,6,6,6,6
ds002236_sub-0022,5,6,6,6,6,6,6,6
ds002236_sub-0023,4,6,6,6,6,6,6,6
ds002236_sub-0024,1,2,3,4,5,6,6,6
ds002236_sub-0025,3,4,4,5,5,6,6,6
ds002236_sub-0026,3,3,4,4,4,6,6,6
ds002236_sub-0029,2,3,4,5,6,6,6,6
ds002236_sub-0031,2,3,3,4,5,6,6,6
ds002236_sub-0032,3,3,4,4,4,5,6,6
ds002236_sub-0033,1,2,3,3,3,4,5,6
ds002236_sub-0035,5,5,5,6,6,6,6,6
ds002236_sub-0036,1,2,2,3,3,4,5,5
ds002236_sub-0038,3,4,4,4,4,5,6,6
ds002236_sub-0042,1,2,3,3,4,4,5,6
ds002236_sub-0043,3,3,4,4,5,5,6,6
ds002236_sub-0044,1,2,3,3,4,5,6,6
ds002236_sub-0045,5,6,6,6,6,6,6,6
ds002236_sub-0046,2,3,4,4,6,6,6,6
ds002236_sub-0047,2,2,2,3,3,4,6,6
ds002236_sub-0048,3,6,6,6,6,6,6,6
ds002236_sub-0049,3,4,6,6,6,6,6,6
ds002236_sub-0050,2,3,3,4,6,6,6,6
ds002236_sub-0051,3,6,6,6,6,6,6,6
ds002236_sub-0052,2,3,4,6,6,6,6,6
ds002236_sub-0053,6,6,6,6,6,6,6,6
ds002236_sub-0055,2,3,5,6,6,6,6,6
ds002236_sub-0056,6,6,6,6,6,6,6,6
ds002236_sub-0057,5,6,6,6,6,6,6,6
ds002236_sub-0058,2,3,3,4,6,6,6,6
ds002236_sub-0059,4,5,6,6,6,6,6,6
ds002236_sub-0060,3,3,4,5,6,6,6,6
ds002236_sub-0061,3,4,6,6,6,6,6,6
ds002236_sub-0062,3,5,6,6,6,6,6,6
ds002236_sub-0063,3,3,4,6,6,6,6,6
ds002236_sub-0064,5,6,6,6,6,6,6,6
ds002236_sub-0065,6,6,6,6,6,6,6,6
ds002236_sub-0066,5,5,6,6,6,6,6,6
ds002236_sub-0068,3,3,3,4,4,5,5,6
ds002236_sub-0069,2,3,3,4,4,5,6,6
ds002236_sub-0071,1,2,3,3,4,4,5,6
ds002236_sub-0073,1,2,2,3,3,4,5,6
ds002236_sub-0074,2,3,3,4,5,6,6,6
ds002236_sub-0075,3,5,6,6,6,6,6,6
ds002236_sub-0076,1,2,2,2,3,3,4,4
ds002236_sub-0077,4,4,5,5,6,6,6,6
ds002236_sub-0079,0,1,5,6,6,6,6,6
ds002236_sub-0080,3,5,6,6,6,6,6,6
ds002236_sub-0081,3,3,4,6,6,6,6,6
ds002236_sub-0082,3,4,4,6,6,6,6,6
ds002236_sub-0083,6,6,6,6,6,6,6,6
ds002236_sub-0084,6,6,6,6,6,6,6,6
ds002236_sub-0090,4,5,6,6,6,6,6,6
ds006239_sub-1002,4,6,6,6,6,6,6,6
ds006239_sub-1076,5,6,6,6,6,6,6,6
ds006239_sub-1079,2,3,3,6,6,6,6,6
ds006239_sub-1080,6,6,6,6,6,6,6,6
ds006239_sub-1081,3,4,6,6,6,6,6,6
ds006239_sub-1082,2,4,6,6,6,6,6,6
ds006239_sub-1086,2,3,3,4,5,6,6,6
ds006239_sub-1089,2,3,3,4,6,6,6,6
ds006239_sub-1090,2,2,3,5,6,6,6,6
ds006239_sub-1101,1,2,6,6,6,6,6,6
ds006239_sub-1102,3,5,6,6,6,6,6,6
ds006239_sub-1103,4,6,6,6,6,6,6,6
ds006239_sub-1105,3,5,6,6,6,6,6,6
ds006239_sub-1107,2,5,6,6,6,6,6,6
ds006239_sub-1110,2,3,4,6,6,6,6,6
ds006239_sub-1111,2,5,6,6,6,6,6,6
ds006239_sub-1116,6,6,6,6,6,6,6,6
ds006239_sub-1117,6,6,6,6,6,6,6,6
ds006239_sub-1119,2,3,3,3,4,6,6,6
ds006239_sub-1122,6,6,6,6,6,6,6,6
ds006239_sub-1129,6,6,6,6,6,6,6,6
ds006239_sub-1130,2,3,4,5,6,6,6,6
ds006239_sub-1148,4,5,6,6,6,6,6,6
ds006239_sub-1156,3,4,4,5,6,6,6,6
ds006239_sub-1160,6,6,6,6,6,6,6,6
ds006239_sub-1161,3,4,6,6,6,6,6,6
ds006239_sub-1169,2,5,6,6,6,6,6,6
ds006239_sub-1178,4,6,6,6,6,6,6,6
ds006239_sub-1180,5,6,6,6,6,6,6,6
ds006239_sub-1181,2,2,4,5,5,6,6,6
ds006239_sub-1187,3,5,6,6,6,6,6,6
ds006239_sub-1190,0,3,6,6,6,6,6,6
ds006239_sub-1191,4,6,6,6,6,6,6,6
ds006239_sub-1192,4,6,6,6,6,6,6,6
ds006239_sub-1193,4,6,6,6,6,6,6,6
ds006239_sub-1194,3,5,6,6,6,6,6,6
ds006239_sub-1195,6,6,6,6,6,6,6,6
ds006239_sub-1196,3,5,6,6,6,6,6,6
ds006239_sub-1197,6,6,6,6,6,6,6,6
ds006239_sub-1198,6,6,6,6,6,6,6,6
ds006239_sub-1199,2,2,3,6,6,6,6,6
ds006239_sub-1204,6,6,6,6,6,6,6,6
ds006239_sub-1205,3,4,6,6,6,6,6,6
ds006239_sub-1206,4,6,6,6,6,6,6,6
ds006239_sub-1208,2,4,6,6,6,6,6,6
ds006239_sub-1209,6,6,6,6,6,6,6,6
ds006239_sub-1210,1,4,5,6,6,6,6,6
ds006239_sub-1211,2,4,6,6,6,6,6,6
ds006239_sub-1213,4,6,6,6,6,6,6,6
ds006239_sub-1219,3,6,6,6,6,6,6,6
ds006239_sub-1220,6,6,6,6,6,6,6,6
ds006239_sub-1223,6,6,6,6,6,6,6,6
ds006239_sub-1225,2,2,3,4,6,6,6,6
ds006239_sub-1246,6,6,6,6,6,6,6,6
ds006239_sub-1248,6,6,6,6,6,6,6,6
ds006239_sub-1250,2,2,3,6,6,6,6,6
ds006239_sub-1252,2,5,6,6,6,6,6,6
ds006239_sub-1255,3,4,6,6,6,6,6,6
ds006239_sub-1277,3,5,6,6,6,6,6,6
ds006239_sub-1278,4,6,6,6,6,6,6,6
ds006239_sub-1283,3,4,6,6,6,6,6,6
ds006239_sub-1288,2,4,6,6,6,6,6,6
ds006239_sub-1289,1,2,2,3,5,6,6,6
ds006239_sub-1291,5,6,6,6,6,6,6,6
