unique_id,dataset,subject_id,run_name,repaired_num,repaired_perc,chunks_num,FD_mean,FD_num_03,FD_perc_03,num_volume
ds006239_sub-1089,ds006239,sub-1089,sub-1089_ses-1_task-ReadPhon_acq-D2S0401_run-2_bold,0,0,0,0.100875461961631,0,0,195
ds006239_sub-1090,ds006239,sub-1090,sub-1090_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,2,0.0102564102564103,0,0.281776429418974,49,0.251282051282051,195
ds006239_sub-1090,ds006239,sub-1090,sub-1090_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,12,0.0615384615384615,0,0.484971230573846,107,0.548717948717949,195
ds006239_sub-1101,ds006239,sub-1101,sub-1101_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.103018031737436,1,0.00512820512820513,195
ds006239_sub-1101,ds006239,sub-1101,sub-1101_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.0991851947459487,0,0,195
ds006239_sub-1102,ds006239,sub-1102,sub-1102_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.154872550589538,7,0.0358974358974359,195
ds006239_sub-1102,ds006239,sub-1102,sub-1102_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.116215456653482,1,0.00512820512820513,195
ds006239_sub-1103,ds006239,sub-1103,sub-1103_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.123233959814103,2,0.0102564102564103,195
ds006239_sub-1103,ds006239,sub-1103,sub-1103_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.123952519645036,3,0.0153846153846154,195
ds006239_sub-1105,ds006239,sub-1105,sub-1105_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.238394348679303,42,0.215384615384615,195
ds006239_sub-1105,ds006239,sub-1105,sub-1105_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.25195542837101,52,0.266666666666667,195
ds006239_sub-1107,ds006239,sub-1107,sub-1107_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.116788681393385,5,0.0256410256410256,195
ds006239_sub-1107,ds006239,sub-1107,sub-1107_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.0952119889527487,1,0.00512820512820513,195
ds006239_sub-1110,ds006239,sub-1110,sub-1110_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.126700647935231,9,0.0461538461538462,195
ds006239_sub-1110,ds006239,sub-1110,sub-1110_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.156209070973923,14,0.0717948717948718,195
ds006239_sub-1111,ds006239,sub-1111,sub-1111_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,2,0.0102564102564103,0,0.22411289353559,26,0.133333333333333,195
ds006239_sub-1111,ds006239,sub-1111,sub-1111_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,1,0.00512820512820513,0,0.27389967665559,47,0.241025641025641,195
ds006239_sub-1116,ds006239,sub-1116,sub-1116_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.142842944392154,3,0.0153846153846154,195
ds006239_sub-1116,ds006239,sub-1116,sub-1116_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.148383053807692,4,0.0205128205128205,195
ds006239_sub-1117,ds006239,sub-1117,sub-1117_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.259305351236821,52,0.266666666666667,195
ds006239_sub-1117,ds006239,sub-1117,sub-1117_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.193576461210769,26,0.133333333333333,195
ds006239_sub-1119,ds006239,sub-1119,sub-1119_ses-1_task-ReadPhon_acq-D2S0301_run-1_bold,20,0.102564102564103,0,0.638807445645641,109,0.558974358974359,195
ds006239_sub-1119,ds006239,sub-1119,sub-1119_ses-1_task-ReadPhon_acq-D2S0401_run-2_bold,0,0,0,0.305727765926667,65,0.333333333333333,195
ds006239_sub-1122,ds006239,sub-1122,sub-1122_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,25,0.128205128205128,1,0.919289332250769,141,0.723076923076923,195
ds006239_sub-1122,ds006239,sub-1122,sub-1122_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,10,0.0512820512820513,0,0.613468390318564,131,0.671794871794872,195
ds006239_sub-1122,ds006239,sub-1122,sub-1122_ses-1_task-ReadPhon_acq-D3S0201_run-1_bold,0,0,0,0.279630344741026,64,0.328205128205128,195
ds006239_sub-1129,ds006239,sub-1129,sub-1129_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,4,0.0205128205128205,0,0.210107293580323,10,0.0512820512820513,195
ds006239_sub-1129,ds006239,sub-1129,sub-1129_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,2,0.0102564102564103,0,0.230195947064615,28,0.143589743589744,195
ds006239_sub-1130,ds006239,sub-1130,sub-1130_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.26974493292959,60,0.307692307692308,195
ds006239_sub-1130,ds006239,sub-1130,sub-1130_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,8,0.041025641025641,0,0.523156401034861,109,0.558974358974359,195
ds006239_sub-1148,ds006239,sub-1148,sub-1148_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.156144132528205,16,0.0820512820512821,195
ds006239_sub-1148,ds006239,sub-1148,sub-1148_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,18,0.0923076923076923,0,0.516057016358461,35,0.179487179487179,195
ds006239_sub-1156,ds006239,sub-1156,sub-1156_ses-1_task-ReadPhon_acq-D2S0301_run-1_bold,5,0.0256410256410256,0,0.385773175943436,63,0.323076923076923,195
ds006239_sub-1156,ds006239,sub-1156,sub-1156_ses-1_task-ReadPhon_acq-D2S0401_run-2_bold,9,0.0461538461538462,0,0.440645298496256,63,0.323076923076923,195
ds006239_sub-1160,ds006239,sub-1160,sub-1160_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.193300757275436,23,0.117948717948718,195
ds006239_sub-1160,ds006239,sub-1160,sub-1160_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.156846610935897,5,0.0256410256410256,195
ds006239_sub-1161,ds006239,sub-1161,sub-1161_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.146959576342051,5,0.0256410256410256,195
ds006239_sub-1161,ds006239,sub-1161,sub-1161_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.159001290756154,9,0.0461538461538462,195
ds006239_sub-1169,ds006239,sub-1169,sub-1169_ses-1_task-ReadPhon_acq-D2S0301_run-1_bold,8,0.041025641025641,0,0.422884817855846,68,0.348717948717949,195
ds006239_sub-1169,ds006239,sub-1169,sub-1169_ses-1_task-ReadPhon_acq-D2S0401_run-2_bold,13,0.0666666666666667,0,0.554815029871282,81,0.415384615384615,195
ds006239_sub-1178,ds006239,sub-1178,sub-1178_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.13280936954759,7,0.0358974358974359,195
ds006239_sub-1178,ds006239,sub-1178,sub-1178_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.125189427874359,3,0.0153846153846154,195
ds006239_sub-1180,ds006239,sub-1180,sub-1180_ses-1_task-ReadPhon_acq-D2S0301_run-1_bold,0,0,0,0.195117224448718,29,0.148717948717949,195
ds006239_sub-1180,ds006239,sub-1180,sub-1180_ses-1_task-ReadPhon_acq-D2S0401_run-2_bold,0,0,0,0.170403189203292,13,0.0666666666666667,195
ds006239_sub-1181,ds006239,sub-1181,sub-1181_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.22714585216841,39,0.2,195
ds006239_sub-1181,ds006239,sub-1181,sub-1181_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.208559948723077,29,0.148717948717949,195
ds006239_sub-1181,ds006239,sub-1181,sub-1181_ses-1_task-ReadPhon_acq-D2S1001_run-2_bold,18,0.0923076923076923,0,0.681301034681026,115,0.58974358974359,195
ds006239_sub-1187,ds006239,sub-1187,sub-1187_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.173172352149231,14,0.0717948717948718,195
ds006239_sub-1187,ds006239,sub-1187,sub-1187_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.164828892179487,6,0.0307692307692308,195
ds006239_sub-1190,ds006239,sub-1190,sub-1190_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.130422741360055,5,0.0256410256410256,195
ds006239_sub-1190,ds006239,sub-1190,sub-1190_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.135962356667897,6,0.0307692307692308,195
ds006239_sub-1191,ds006239,sub-1191,sub-1191_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,2,0.0102564102564103,0,0.123715701385036,3,0.0153846153846154,195
ds006239_sub-1191,ds006239,sub-1191,sub-1191_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.097793219406359,3,0.0153846153846154,195
ds006239_sub-1192,ds006239,sub-1192,sub-1192_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.133288213153333,3,0.0153846153846154,195
ds006239_sub-1192,ds006239,sub-1192,sub-1192_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.155527308799487,6,0.0307692307692308,195
ds006239_sub-1193,ds006239,sub-1193,sub-1193_ses-1_task-ReadPhon_acq-D2S0301_run-1_bold,4,0.0205128205128205,0,0.245110794770513,21,0.107692307692308,195
ds006239_sub-1193,ds006239,sub-1193,sub-1193_ses-1_task-ReadPhon_acq-D2S0401_run-2_bold,10,0.0512820512820513,0,0.372771814180205,27,0.138461538461538,195
ds006239_sub-1194,ds006239,sub-1194,sub-1194_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.189163168158974,20,0.102564102564103,195
ds006239_sub-1194,ds006239,sub-1194,sub-1194_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.17133735480359,14,0.0717948717948718,195
ds006239_sub-1195,ds006239,sub-1195,sub-1195_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,4,0.0205128205128205,0,0.394782702377436,58,0.297435897435897,195
ds006239_sub-1195,ds006239,sub-1195,sub-1195_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.269860595283436,45,0.230769230769231,195
ds006239_sub-1196,ds006239,sub-1196,sub-1196_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.114070154991949,1,0.00512820512820513,195
ds006239_sub-1196,ds006239,sub-1196,sub-1196_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.102520711821067,0,0,195
