subject_id,run_name,repaired_num,repaired_perc,chunks_num,FD_mean,FD_num_03,FD_perc_03
sub-76,sub-76_task-VisRhyme_run-01_bold,0,0,0,0.0855536202236667,0,0
sub-76,sub-76_task-VisRhyme_run-02_bold,0,0,0,0.106687585953042,2,0.00833333333333333
sub-77,sub-77_task-VisRhyme_run-01_bold,0,0,0,0.0889248261468333,3,0.0125
sub-77,sub-77_task-VisRhyme_run-02_bold,9,0.0375,0,0.39251407788125,79,0.329166666666667
sub-79,sub-79_task-VisRhyme_run-01_bold,4,0.0166666666666667,0,0.282140936589583,54,0.225
sub-79,sub-79_task-VisRhyme_run-02_bold,5,0.0208333333333333,0,0.283599631935399,50,0.208333333333333
sub-80,sub-80_task-VisRhyme_run-01_bold,0,0,0,0.19706699418,40,0.166666666666667
sub-80,sub-80_task-VisRhyme_run-02_bold,0,0,0,0.162513504269983,18,0.075
sub-81,sub-81_task-VisRhyme_run-01_bold,0,0,0,0.174825401411083,22,0.0916666666666667
sub-81,sub-81_task-VisRhyme_run-02_bold,4,0.0166666666666667,0,0.251477230848096,37,0.154166666666667
sub-82,sub-82_task-VisRhyme_run-01_bold,11,0.0458333333333333,0,0.422927505936642,55,0.229166666666667
sub-82,sub-82_task-VisRhyme_run-02_bold,4,0.0166666666666667,0,0.246912173632667,39,0.1625
sub-83,sub-83_task-VisRhyme_run-01_bold,0,0,0,0.0926039908491667,6,0.025
sub-83,sub-83_task-VisRhyme_run-02_bold,3,0.0125,0,0.164894417959583,18,0.075
sub-84,sub-84_task-VisRhyme_run-01_bold,0,0,0,0.189527426880042,33,0.1375
sub-84,sub-84_task-VisRhyme_run-02_bold,0,0,0,0.18129172018875,35,0.145833333333333
sub-90,sub-90_task-VisRhyme_run-01_bold,0,0,0,0.135379798998333,11,0.0458333333333333
sub-90,sub-90_task-VisRhyme_run-02_bold,0,0,0,0.114743095684083,5,0.0208333333333333
